"TYPE","NAME","ADDRESS","COMM_CODE","POINT"
"Court","Alberta Court of Queens Bench","# 604-N 601 5 ST SW","DNC","POINT (-114.0741375 51.0469323)"
"Community Centre","North Haven Community Centre","5003 North Haven DR NW","NHV","POINT (-114.0866375 51.0991045)"
"Community Centre","Edgemont Community Centre","33 Edgevalley CI NW","EDG","POINT (-114.1441858 51.1284937)"
"Community Centre","Haysboro Community Centre","1204 89 AV SW","HAY","POINT (-114.0878 50.9747523)"
"Commercial","Foothills Industrial Park",,,"POINT (-113.9707229 50.9931808)"
"Community Centre","Hillhurst/Sunnyside Community Centre","1320 5 AV NW","HIL","POINT (-114.0925315 51.0575484)"
"Attraction","Spruce Meadows Equestrian Centre","18011 Spruce Meadows WY SW",,"POINT (-114.0943443 50.8895716)"
"Community Centre","Oakridge Community Centre","9504 Oakfield DR SW","OAK","POINT (-114.1320095 50.9687732)"
"Attraction","Calaway Park","Springbank RD & Trans Canada HWY","VAL","POINT (-114.3550627 51.0857468)"
"Attraction","Eau Claire Market","200 Barclay PR SW","EAU","POINT (-114.0677068 51.0529392)"
"Community Centre","McKenzie Lake Community Centre","16198 McKenzie Lake WY SE","MCK","POINT (-113.9835812 50.9062854)"
"Community Centre","Brentwood Community Centre","5107 33 ST NW","BRE","POINT (-114.1378591 51.09751)"
"PHS Clinic","Northwest Community Health Centre","109 1829 Ranchlands BV NW","RAN","POINT (-114.1971758 51.1233403)"
"Library","Forest Lawn Branch","4807 8 AV SE","FLN","POINT (-113.9652981 51.0448123)"
"Library","Central Library","800 3 ST SE","DNC","POINT (-114.0551896 51.0455185)"
"PHS Clinic","Village Square Community Health Centre","2623 56 Street NE",,"POINT (-113.9530778 51.0755128)"
"Community Centre","Renfrew Community Association","811 Radford RD NE","REN","POINT (-114.0447522 51.0601908)"
"Hospital","Foothills Hospital","1403 - 29 ST NW","STA","POINT (-114.1321909 51.0641897)"
"Community Centre","Varsity Community Centre","4303 Varsity DR NW","VAR","POINT (-114.1492481 51.0919895)"
"Social Dev Ctr","North Area","905 30 AV NW","MOP","POINT (-114.0792708 51.0798297)"
"Community Centre","Millican/Ogden/Lynnwood Community Centre","6901 20A ST SE","OGD","POINT (-114.0108656 50.9914781)"
"Library","Crowfoot Library","8665 NOSE HILL DR NW","ARB","POINT (-114.1925548 51.1308765)"
"Community Centre","Pineridge Community Centre","6024 Rundlehorn DR NE","PIN","POINT (-113.9452702 51.0715737)"
"Social Dev Ctr","East Area","1011 52 ST SE","FLN","POINT (-113.9587055 51.0428705)"
"Community Centre","Penbrooke Meadows Community Centre","6100 8 AV SE","PEN","POINT (-113.946344 51.0459156)"
"Visitor Info","Calgary City Hall & Municipal Complex","800 Macleod TR SE","DNC","POINT (-114.0570698 51.0453758)"
"Attraction","Crossroads Market","1235 26 AV SE","AYB","POINT (-114.0346773 51.0304761)"
"Library","Fish Creek Library","11161 BONAVENTURE DR SE","WIL","POINT (-114.0609256 50.9517248)"
"Community Centre","Riverbend Community Centre","19 Rivervalley DR SE","RIV","POINT (-114.0163996 50.9724603)"
"Community Centre","Bridgeland / Riverside Community Centre","917 Centre Av NE","BRD","POINT (-114.0399562 51.0500808)"
"Library","Village Square Library","2623 56 ST NE","PIN","POINT (-113.9545686 51.0753943)"
"Community Centre","Forest Heights/ Fonda Community Centre","4909 Forego AV SE","FHT","POINT (-113.9630312 51.0492231)"
"Community Centre","Cambrian Heights Community Centre","600 Northmount DR NW","CAM","POINT (-114.0873963 51.0868355)"
"Community Centre","Banff Trail Community Centre","2115 20 AV NW","BNF","POINT (-114.1089361 51.07031)"
"Community Centre","Rosscarrock Community Centre","4411 10 AV SW","RCK","POINT (-114.1507671 51.0428044)"
"Community Centre","Canyon Meadows Community Centre","848 Cantabrian DR SW","CAN","POINT (-114.0788589 50.9462205)"
